dashboard.get_Communities(),@className,t1,'token:undefined',pre
dashboard.get_Communities(),@className,t1,'kfurl:https://kf6.ikit.org/',pre
dashboard.get_Communities(),@className,t1,'pwd:null',pre
dashboard.get_Communities(),@className,t1,'kf_token:eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI1N2MwNjdkYTIwNTc5MDVjMjkwMDgzYzgiLCJpYXQiOjE1MzM4NjMzNzQsImV4cCI6MTUzMzg4MTM3NH0.lsEXSnyN4K_lj_cGOeknVke1d33F0SyUGRJkXb5RCZ4',pre
dashboard.get_Communities(),@className,t1,'kf_token is not  null',if
dashboard.page.Init(),@className,t1,'username:itm',pre
dashboard.get_Communities(),@className,t1,'API:/IIUSs/kf6/getCommunities',pre
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request success',post
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response has isITM attribute:',if
dashboard.MyRegistered(),@className,t1,'token7897aasdfasdf2312312',pre
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.MyRegistered(),@className,t1,'API£º/WSG/community/get/byemail',pre
dashboard.get_Communities(),@className,t1,'request's response does not have isITM attribute:',if
dashboard.MyRegistered(),@className,t1,'databaseitm3',pre
dashboard.MyRegistered(),@className,t1,'emailnull',pre
dashboard.enter(),@className,t1,'kfurl£ºeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI1N2MwNjdkYTIwNTc5MDVjMjkwMDgzYzgiLCJpYXQiOjE1MzM4NjMzNzQsImV4cCI6MTUzMzg4MTM3NH0.lsEXSnyN4K_lj_cGOeknVke1d33F0SyUGRJkXb5RCZ4',pre
dashboard.enter(),@className,t1,'localdb£ºlocaldb',pre
dashboard.enter(),@className,t1,'role£ºmanager',pre
dashboard.enter(),@className,t1,'community_id£º57c052ea2057905c29008319',pre
dashboard.enter(),@className,t1,'str_id£º57c067ec2057905c290083c9',pre
dashboard.enter(),@className,t1,'kf_token£ºeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI1N2MwNjdkYTIwNTc5MDVjMjkwMDgzYzgiLCJpYXQiOjE1MzM4NjMzNzQsImV4cCI6MTUzMzg4MTM3NH0.lsEXSnyN4K_lj_cGOeknVke1d33F0SyUGRJkXb5RCZ4',pre
initPage,openedit,t1,"{'localdb':'localdb','token':'20171029163219826664','community':'Guilderland Elementary School','c_id':'57c052ea2057905c29008319','type':'3','urname':'itm','id':'57c067ec2057905c290083c9','itmdb':'itm3','domain':'null','school':'Guilderland Elementary Sch",pre
initPage,openedit,t1,"'[null,null,null,{'id':3,'access_code_read_only':'V','access_code_read_write':'S','access_code_manage':'T','title':'5G Environment','logo':'/IFS/resources/data/201711071511579201711010924317eco.jpeg','goal':'Why pollution','school_year_from':'2013/1','sch",pre
initPage,openedit,t1,'HTML DOM operation',post
initArea,project setup,t2,'HTML DOM Operation',post
initGrades,project setup,t2,'HTML DOM Operation',post
initGrades,project setup,t2,"{'grade':[{'id':1,'title':'k'},{'id':2,'title':'1'},{'id':3,'title':'2'},{'id':4,'title':'3'},{'id':5,'title':'4'},{'id':6,'title':'5'},{'id':7,'title':'6'},{'id':8,'title':'7'},{'id':9,'title':'8'},{'id':10,'title':'9'},{'id':11,'title':'10'},{'id':12,'t",pre
initArea,project setup,t2,"[{'id':1,'name':'Language Arts ','parent_id':0,'reference':null},{'id':2,'name':'Writing','parent_id':1,'reference':null},{'id':3,'name':'Reading ','parent_id':1,'reference':null},{'id':4,'name':'Speaking and Listening','parent_id':1,'reference':null},{'i",pre
initGrades,project setup,t2,¨¤?±ì?,pre
initGrades,project setup,t2,'HTML DOM Operation',post
createViewInKF,project setup,t3,"{'window.createProject':false,'window.createViewInKF':true,'window.createdProjectId':-1,'window.createdViewId':'-1','input1':'V'}",pre
createViewInKF,project setup,t3,"{'localdb':'null','token':'null','community':'null','c_id':'null','type':'null','urname':'null','id':'null','itmdb':'null','domain':'null','school':'null','country':'null','city':'null','projectid':'null','kfurl':'null','kftoken':'null'}",pre
createViewInKF,project setup,t3,"{'localdb':'null','token':'null','community':'null','c_id':'null','type':'null','urname':'null','id':'null','itmdb':'null','domain':'null','school':'null','country':'null','city':'null','projectid':'null','kfurl':'null','kftoken':'null'}",pre
project_view_add,project setup,t3,"{'window.projectHasCreated':false,'window.createdViewId':'-1'}",pre
project_view_add,project setup,t3,'window.projectHasCreated is false',if
project_view_add,project setup,t3,,pre
project_view_add,project setup,t3,{'API':'nullapi/communities/null'},pre
createProjectInITM3,project setup,t3,{'API':'/WSG/project/add'},pre
createViewInKF,project setup,t3,"{'cid':'null','title':'','aid':'null','window.projectHasCreated':false}",pre
createProjectInITM3,project setup,t3,{'window.projectHasCreated':false},pre
createViewInKF,project setup,t4,"{'cid':'null','title':'asdfasdf'asdfasdf','aid':'null','window.projectHasCreated':false}",pre
createViewInKF,project setup,t4,"{'localdb':'null','token':'null','community':'null','c_id':'null','type':'null','urname':'null','id':'null','itmdb':'null','domain':'null','school':'null','country':'null','city':'null','projectid':'null','kfurl':'null','kftoken':'null'}",pre
createViewInKF,project setup,t4,"{'localdb':'null','token':'null','community':'null','c_id':'null','type':'null','urname':'null','id':'null','itmdb':'null','domain':'null','school':'null','country':'null','city':'null','projectid':'null','kfurl':'null','kftoken':'null'}",pre
createViewInKF,project setup,t4,"{'window.createProject':false,'window.createViewInKF':true,'window.createdProjectId':-1,'window.createdViewId':'-1','input1':'V'}",pre
createProjectInITM3,project setup,t4,{'API':'/WSG/project/add'},pre
project_view_add,project setup,t4,"{'window.projectHasCreated':false,'window.createdViewId':'-1'}",pre
project_view_add,project setup,t4,'window.projectHasCreated is false',if
createProjectInITM3,project setup,t4,{'window.projectHasCreated':false},pre
project_view_add,project setup,t4,,pre
project_view_add,project setup,t4,{'API':'nullapi/communities/null'},pre
createViewInKF,project setup,t3,"{'localdb':'localdb','token':'20171029163219826664','community':'Guilderland Elementary School','c_id':'57c052ea2057905c29008319','type':'3','urname':'itm','id':'57c067ec2057905c290083c9','itmdb':'itm3','domain':'null','school':'Guilderland Elementary Sch",pre
createViewInKF,project setup,t3,"{'localdb':'localdb','token':'20171029163219826664','community':'Guilderland Elementary School','c_id':'57c052ea2057905c29008319','type':'3','urname':'itm','id':'57c067ec2057905c290083c9','itmdb':'itm3','domain':'null','school':'Guilderland Elementary Sch",pre
createViewInKF,project setup,t3,"{'window.createProject':false,'window.createViewInKF':true,'window.createdProjectId':-1,'window.createdViewId':'-1','input1':'V'}",pre
createViewInKF,project setup,t3,"{'cid':'57c052ea2057905c29008319','title':'','aid':'57c067ec2057905c290083c9','window.projectHasCreated':false}",pre
createViewInKF,project setup,t3,"{'window.createViewInKF':true,'window.createdViewId':'5b6ce8c4554fb5662cc31e7e'}",post
createViewInKF,project setup,t3,'https://kf6.ikit.org/api/communities/57c052ea2057905c29008319',post
createViewInKF,project setup,t3,"{'__v':0,'communityId':'57c052ea2057905c29008319','type':'View','__t':'KContribution','docShared':[],'createdBy':'','docId':'','_groupMembers':[],'authors':['57c067ec2057905c290083c9'],'permission':'public','status':'active','modified':'2018-08-10T01:22:1",post
getCommunityObject,project setup,t3,{'window.projectHasCreated':false},pre
project_view_add,project setup,t3,"{'window.projectHasCreated':false,'window.createdViewId':'5b6ce8c4554fb5662cc31e7e'}",pre
project_view_add,project setup,t3,"{'_id':'57c052ea2057905c29008319','title':'Guilderland Elementary School','__v':166,'rootContextId':'57c052ea2057905c2900831b','promisingcolorobjs':[],'views':['5ab57827366697281ffb110a','5ace504da92f2736157a464e','5acf98a8a92f2736157a97f5','5acf99c3a92f2",pre
project_view_add,project setup,t3,'window.projectHasCreated is false',if
project_view_add,project setup,t3,{'API':'https://kf6.ikit.org/api/communities/57c052ea2057905c29008319'},pre
project_view_add,project setup,t3,"{'database':'localdb','token':'20171029163219826664','title':'','viewid':'5b6ce8c4554fb5662cc31e7e','authorid':'57c067ec2057905c290083c9','vcreatetime':'2018-08-10T01:22:11.274Z'}",pre
project_view_add,project setup,t3,"{'window.projectHasCreated':false,'window.createdViewId':'5b6ce8c4554fb5662cc31e7e'}",pre
getCommunityObject,project setup,t3,'https://kf6.ikit.org/api/communities/57c052ea2057905c29008319',post
getCommunityObject,project setup,t3,"{'_id':'57c052ea2057905c29008319','title':'Guilderland Elementary School','__v':166,'rootContextId':'57c052ea2057905c2900831b','promisingcolorobjs':[],'views':['5ab57827366697281ffb110a','5ace504da92f2736157a464e','5acf98a8a92f2736157a97f5','5acf99c3a92f2",post
