149,'token:undefined',@className,dashboard.get_Communities(),pre,t1
150,'kfurl:https://kf6.ikit.org/',@className,dashboard.get_Communities(),pre,t1
151,'pwd:null',@className,dashboard.get_Communities(),pre,t1
152,'kf_token:eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI1N2MwNjdkYTIwNTc5MDVjMjkwMDgzYzgiLCJpYXQiOjE1MzM4NjMzNzQsImV4cCI6MTUzMzg4MTM3NH0.lsEXSnyN4K_lj_cGOeknVke1d33F0SyUGRJkXb5RCZ4',@className,dashboard.get_Communities(),pre,t1
153,'kf_token is not  null',@className,dashboard.get_Communities(),if,t1
154,'username:itm',@className,dashboard.page.Init(),pre,t1
155,'API:/IIUSs/kf6/getCommunities',@className,dashboard.get_Communities(),pre,t1
156,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
157,'request success',@className,dashboard.get_Communities(),post,t1
158,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
159,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
160,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
161,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
162,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
163,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
164,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
165,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
166,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
167,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
168,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
169,'request's response has isITM attribute:',@className,dashboard.get_Communities(),if,t1
170,'token7897aasdfasdf2312312',@className,dashboard.MyRegistered(),pre,t1
171,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
172,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
173,'API£º/WSG/community/get/byemail',@className,dashboard.MyRegistered(),pre,t1
174,'request's response does not have isITM attribute:',@className,dashboard.get_Communities(),if,t1
175,'databaseitm3',@className,dashboard.MyRegistered(),pre,t1
176,'emailnull',@className,dashboard.MyRegistered(),pre,t1
177,'kfurl£ºeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI1N2MwNjdkYTIwNTc5MDVjMjkwMDgzYzgiLCJpYXQiOjE1MzM4NjMzNzQsImV4cCI6MTUzMzg4MTM3NH0.lsEXSnyN4K_lj_cGOeknVke1d33F0SyUGRJkXb5RCZ4',@className,dashboard.enter(),pre,t1
178,'localdb£ºlocaldb',@className,dashboard.enter(),pre,t1
179,'role£ºmanager',@className,dashboard.enter(),pre,t1
180,'community_id£º57c052ea2057905c29008319',@className,dashboard.enter(),pre,t1
181,'str_id£º57c067ec2057905c290083c9',@className,dashboard.enter(),pre,t1
182,'kf_token£ºeyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJfaWQiOiI1N2MwNjdkYTIwNTc5MDVjMjkwMDgzYzgiLCJpYXQiOjE1MzM4NjMzNzQsImV4cCI6MTUzMzg4MTM3NH0.lsEXSnyN4K_lj_cGOeknVke1d33F0SyUGRJkXb5RCZ4',@className,dashboard.enter(),pre,t1
183,"{'localdb':'localdb','token':'20171029163219826664','community':'Guilderland Elementary School','c_id':'57c052ea2057905c29008319','type':'3','urname':'itm','id':'57c067ec2057905c290083c9','itmdb':'itm3','domain':'null','school':'Guilderland Elementary Sch",openedit,initPage,pre,t1
184,"'[null,null,null,{'id':3,'access_code_read_only':'V','access_code_read_write':'S','access_code_manage':'T','title':'5G Environment','logo':'/IFS/resources/data/201711071511579201711010924317eco.jpeg','goal':'Why pollution','school_year_from':'2013/1','sch",openedit,initPage,pre,t1
185,'HTML DOM operation',openedit,initPage,post,t1
186,'HTML DOM Operation',project setup,initArea,post,t2
187,'HTML DOM Operation',project setup,initGrades,post,t2
